[Info  - 16:42:09] Angular language server process ID: 12767
[Info  - 16:42:09] Using typescript/lib/tsserverlibrary v4.9.5 from /home/rugery/Documentos/Proyects/Portafolio/node_modules/typescript/lib/tsserverlibrary.js
[Error - 16:49:53] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:51:03] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:51:06] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:51:07] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:51:13] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:51:19] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:51:20] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:51:20] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:03] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:04] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:04] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:05] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:06] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:06] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:06] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:16] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:16] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:22] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:23] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:24] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:25] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:25] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:25] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:52:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:00] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:00] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:00] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
[Error - 16:53:01] No config file for /home/rugery/Documentos/Proyects/Portafolio/src/index.html
