[Info  - 16:02:29] Angular language server process ID: 7433
[Info  - 16:02:29] Using typescript/lib/tsserverlibrary v4.8.2 from /home/rugery/.vscode/extensions/angular.ng-template-15.2.0/node_modules/typescript/lib/tsserverlibrary.js
[Error - 16:10:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:26] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:27] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:28] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:29] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:29] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:29] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:30] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:32] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:36] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:37] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:38] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:38] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:38] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:38] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:39] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:39] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:40] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:40] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:40] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:43] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:43] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:43] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:43] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:43] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:44] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:44] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:44] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:44] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:44] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:44] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:44] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:44] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:45] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
[Error - 16:10:46] No config file for /home/rugery/Documentos/Proyects/Portafolio/index.html
